#,Aeronave,Origem,Ano,Categoria,Ocupante,PesoT (kg),PesoV (kg),PesoV/PesoT,PesoF (kg),Peso CP (kg),HP,Carga Alar (W/S),Area asa (m2),Enverg asa (m),corda media,Area Ht (m²),Area Vt (m²),Area aileron (m²),Area prof (m²),Area l direc (m²),Area flap (m²),Comp Fusel,Vol cabine (m^3),Estrutura,Vstall (kn),Vcruz (kn),Vmax (kn),Alcance (nm),Climb ( ft/min),Dist decol (m),Dist aterra (m),Teto max (ft),"Afilamento 
(c_tip / c_root)",Perfil,Motor,Diedro ,tipo trem,Incidencia
1,Antonov An-2,URSS,1947,Transporte,14,5.500.00,3.300.00,0.60,948.19,1.251.81,1.000.00,76.90,71.52,18.20,2.48,13.87,4.40,2.52,6.57,2.78,0.00,12.40,11.30,metal,35.00,100.00,139.00,456.00,690.00,487.68,426.72,14750,0.00,TsAGI R-11,Shvetsov ASh-62IR,12º,Convencional,0.473684211
2,Cessna 408 SkyCourier,USA,2022,Utilitário,20,8.600.00,4.990.00,0.58,2.139.04,1.470.96,1.100.00,209.91,40.97,22.02,1.86,7.95,6.15,4.72,4.59,2.46,6.80,16.80,45.80,-,,210.00,240.00,386.00,-,1.116.00,-,25000,-,-,Pratt & Whitney Canada PT6A-65SC,,Triciclo,0.577358491
3,DHC-6 Twin Otter 400,USA,1996,Utilitário,20,5.670.00,3.221.00,0.57,1.087.99,1.361.01,1.500.00,145.38,39.00,19.81,1.97,9.64,8.32,3.39,4.23,4.04,2.31,15.77,58.86,-,65.00,146.00,182.00,400.00,-,366.00,320.00,25000,-,-,Pratt & Whitney Canada PT6A-34,,Triciclo,0.43879668
4,Harbin Y-12,China,1986,Transporte,19,5.300.00,2.840.00,0.54,1.308.62,1.151.38,1.240.00,154.65,34.27,17.24,1.99,6.97,4.86,2.77,3.35,1.66,6.42,18.86,19.77,-,69.00,135.00,177.00,833.00,-,-,-,23000,-,-,Pratt & Whitney Canada PT6A-27,,Triciclo,0.48048048
5,Basler BT-67,USA,1990,Utilitário,40,13.041.00,7.121.00,0.55,2.346.16,3.573.84,1.910.00,153.93,84.72,28.95,2.93,43.86,9.10,5.60,8.84,3.92,-,20.65,34.68,Metal,-,210.00,285.00,2.140.00,-,-,-,25000,0.43,-,Pratt & Whitney Canada PT6A-67R,7°,Convencional,0.201550388
6,Beechcraft 1900D,USA,1982,Regional,18,7.688.00,4.831.00,0.63,2.022.00,835.00,1.910.00,266.94,28.80,17.63,1.63,8.00,5.30,0.97,1.80,1.80,2.40,17.62,17.02,metal,-,260.00,288.00,1.247.00,2.615.00,1.132.00,1.086.00,25000,-,-,Pratt & Whitney Canada PT6A-67D turboprops,,Triciclo,0.225
7.00,CASA C-212 Aviocar,Espanha,1971,Utilitário,26,7.700.00,3.780.00,0.49,1.600.00,2.320.00,1.342.00,187.80,41.00,20.28,2.02,12.19,7.99,2.62,5.70,2.87,4.88,16.15,32.50,-,-,191.00,200.00,1.670.00,1.630.00,610.00,462.00,26000,-,NACA 65_3218,Garrett AiResearch TPE331-10R-513C turboprop engines,,Triciclo,0.467692828
8,Cessna Caravan,USA,1982,Utilitário. executivo e transporte regional,14,3.867.00,2.073.00,0.54,960.00,834.00,867.00,0.08,45.560.00,15.87,1.80,6.62,4.00,0.80,0.48,0.75,1.47,11.46,11.79,Metal,-,743.00,184.00,1.230.00,1.234.00,626.00,495.00,25000,0.64,-,Pratt & Whitney Canada PT6A-114A,0,Triciclo,0.072507553
9.00,DHC-2 Beaver,Canadá,1947,Utilitário,6,2.721.00,1.359.00,0.50,545.00,817.00,450.00,118.30,23.00,14.63,2.18,9.18,5.10,2.86,4.90,2.16,3.71,9.22,14.06,-,,124.00,137.00,395.00,1.020.00,-,-,18000,-,D.H. high lift,Pratt & Whitney R-985,,Convencional,0.533683433
10.00,Dornier 228,Alemanha,1982,Utilitário,19,6.575.00,3.900.00,0.59,1.885.00,790.00,1.552.00,205.47,32.00,16.97,1.89,7.66,5.81,2.21,2.51,2.18,2.33,15.74,21.60,-,137.00,223.00,-,1.276.00,-,792.00,-,25000,-,-,https://en.wikipedia.org/wiki/Honeywell_TPE331,,Triciclo,0.327236581
11.00,Douglas C-47 Skytrain,USA,1941,Transporte militar,4,14.061.00,8.226.00,0.59,-,-,2.400.00,153.34,91.70,45.63,2.01,19.00,9.81,8.17,6.90,3.76,-,19.43,65.63,-,-,,195.00,1.400.00,-,-,-,,-,"NACA2215 raiz
NACA2206 ponta",Pratt & Whitney R-1830-90C Twin Wasp,,Convencional,0.363295498
12,Embraer EMB 110 Bandeirante,Brasil,1968,Regional,21,5.670.00,3.590.00,0.63,1.272.00,808.00,1.566.00,195.52,29.00,15.32,1.89,9.77,4.48,2.13,3.54,2.46,2.60,45.52,55.20,-,-,146.00,230.00,1.055.00,-,-,-,27100,-,-,Pratt & Whitney Canada PT6A-34,,Triciclo,0.362333675
13.00,Fairchild Swearingen Metroliner,EUA,1969,Regional,19,7.257.00,3.963.00,0.55,-,-,1.640.00,250.24,29.00,17.37,1.67,6.89,5.12,2.34,2.50,1.92,5.32,16.63,26.89,-,-,278.00,311.00,594.00,-,-,-,25000,-,NACA65A215,Garrett AiResearch TPE-331,,Triciclo,0.363324582
14.00,N-219,Indonésia,2017,Utilitário,19,7.030.00,4.309.00,0.61,-,-,1.260.00,167.38,42.00,19.50,-,8.91,6.50,3.76,3.21,1.98,4.10,16.49,30.57,-,59.00,170.00,210.00,480.00,1.938.00,-,-,24000,-,-,Pratt & Whitney Canada PT6A-42,,Triciclo,0.35978178
15,Shorts 330,"Irlanda do
Norte",1976,Transporte civil e militar,33,10.387.00,,-,-,-,396.00,246.72,42.10,22.76,1.85,10.50,4.50,3.40,4.06,1.40,5.52,17.69,12.44,-,-,190.00,246.00,,1.181.10,-,-,21000,0.80,-,https://pt.wikipedia.org/wiki/Pratt_%26_Whitney_Canada_PT6,,Convencional,0.386666667
16,L 410 UVP-E20 CARGO,Rep. Tcheca,1988,Transporte civil. cargo e ambulância,22,6.600.00,4.200.00,0.64,320.00,2.080.00,1.600.00,187.61,35.18,19.98,1.76,10.15,8.14,4.20,2.01,2.88,4.80,14.42,9.40,Metal,-,170.00,181.00,1240km - com MTOW,1.673.23,-,-,27500,0.52,-,https://pt.wikipedia.org/wiki/General_Electric_H80,0,Convencional,0.198029557
17,Short Skyvan,"Irlanda do
Norte",1963,Transporte de mercadoria e paraquedismo,21,5.670.00,,-,-,-,1.430.00,161.45,35.12,19.78,1.78,8.10,7.82,2.25,1.19,3.72,4.43,12.21,75.55,-,-,171.00,175.00,-,-,-,-,22500,,-,https://pt.wikipedia.org/w/index.php?title=Honeywell_TPE331&action=edit&redlink=1,,Convencional,0.14691358
18,C-295,Espanha,1994,Transporte de carga,-,21.000.00,,-,7.626.00,13.374.00,,350.00,60.00,25.81,2.56,14.85,9.46,5.64,7.77,3.91,8.54,24.50,13.98,-,-,240.00,-,-,-,-,-,25000,0.42,-,PW P&WC127G,0,Convencional,0.523232323
19,C-27J Spartan,Itália,1996,Transporte carga,60,30.500.00,17.500.00,-,9.600.00,3.400.00,9.274.00,371.95,82.00,28.70,2.86,16.45,19.04,5.46,12.00,5.61,15.06,22.70,47.56,-,-,315.00,325.00,3.165.00,1.649.00,-,-,30000,0.53,-,Alisson/Rolls Royce AE2100D2A,0,Convencional,0.729483283
20,Beenchcraft Bonanza,USA,1945,Utilitário,5,1.656.00,1.142.00,0.69,145.45,368.55,300.00,98.57,16.80,10.21,1.65,4.09,2.16,1.05,1.64,0.58,1.12,8.38,17.66,Madeira,-,176.00,203.00,716.00,1.230.00,-,-,18500,-,"Root: 23016
Tip: 23012",Continental IO-550-B,,Triciclo,0.400977995
21,Pilatus PC-12,Suíça,1991,"Passageiro
Cargueiro",9,4.740.00,2.810.00,0.59,1.226.00,704.00,1.200.00,183.65,25.81,16.28,1.59,5.20,4.54,1.44,1.56,2.09,2.70,14.40,9.34,metal,67.00,240.00,280.00,1.845.00,1.919.00,758.00,661.00,30000,-,"Root: NACA LS(1)-0417MOD
Tip: NACA LS(1)-0313",Pratt & Whitney Canada PT6A-67P,,Triciclo,0.3
22,Piper PA-46 (Malibu),USA,1979,Passeio,6,2.721.00,1.692.00,0.62,787.20,241.80,500.00,166.93,16.30,13.11,1.24,4.18,1.98,2.32,2.20,3.96,1.44,8.81,5.46,metal,-,234.00,203.00,1.000.00,1.556.00,-,643.00,30000,0.65,,Pratt & Whitney PT6A-42A,7,Triciclo,0.526315789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
